"description","tags","contributors","result","ref_original","ref_replication"
"Subjects choose and reject the enriched alternative more often than the impoverished alternative across task frames (choice vs. rejection).","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Adrien","Failure","Shafir, E. (1993). Choosing versus rejecting: Why some options are both better and worse than others. Memory & cognition, 21(4), 546-556.","Chandrashekar, S., Weber, J., Chan, S., Cho, W., Chu, T., Cheng, B., & Feldman, G. (2021). Accentuation and compatibility: Replication and extensions of Shafir (1993) to rethink choosing versus rejecting paradigms. Judgment and Decision Making, 16(1), 36-56."
"scarcity changes how people allocate attention","Social Science Replication Project, Science, Nature, Human Behavior","Lukas Röseler","Failure","Shah, A. K., Mullainathan, S., & Shafir, E. (2012). Some consequences of having too little. Science, 338(6107), 682-685.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Scarcity effect - Absoluteness of losses","","Nadja Moser","OS not significant","Shah, A. K., Shafir, E., & Mullainathan, S. (2015). Scarcity Frames Value. Psychological Science, 26(4), 402-412.","O'Donnell, M., Dev, A. S., Antonoplis, S., Nelson, L. D., & Weber, E. U. (Eds.). (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44), e2103313118."
"Scarcity effect - Absoluteness of losses","","Nadja Moser","OS not significant","Shah, A. K., Shafir, E., & Mullainathan, S. (2015). Scarcity Frames Value. Psychological Science, 26(4), 402-412.","O'Donnell, M., Dev, A. S., Antonoplis, S., Nelson, L. D., & Weber, E. U. (Eds.). (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44), e2103313118."
"Scarcity frames value","","LR","Success","Shah, A. K., Shafir, E., & Mullainathan, S. (2015). Scarcity frames value. Psychological science, 26(4), 402-412.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"relative encoding on memory-based judgments","","LR","Success","Sharif, M. A., & Oppenheimer, D. M. (2016). The effect of relative encoding on memory-based judgments. Psychological science, 27(8), 1136-1145.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Age and Time Horizons Are Associated With Preferences for Helping Colleagues","","LR","Failure","Shavit, Y. Z., Chi, K., & Carstensen, L. L. (2022). Age and Time Horizons Are Associated With Preferences for Helping Colleagues. Work, Aging and Retirement.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Disgust enhances the detection of impurity","","LR","Failure","Sherman, G. D., Haidt, J., & Clore, G. L. (2012). The faintest speck of dirt: Disgust enhances the detection of impurity. Psychological Science, 23(12), 1506-1514.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Antisocial behavior is positvely correlated with negative emotionality.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","Shiner, R. L., Masten, A. S., & Tellegen, A. (2002). A developmental perspective on personality in Young adulthood: Childhood antecedents and concurrent adaptation. Journal of Personality and Social Psychology, 83, 1165-1177.","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"Antisocial behavior is negatively correlated with conscientiousness.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","Shiner, R. L., Masten, A. S., & Tellegen, A. (2002). A developmental perspective on personality in Young adulthood: Childhood antecedents and concurrent adaptation. Journal of Personality and Social Psychology, 83, 1165-1177.","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.","Adaptation, Psychological, Adult, Analysis of Variance, Conflict (Psychology), Cooperative Behavior, Emotions, Female, Humans, Israel, Male, Models, Psychological, Negotiating, Power (Psychology), Role, Social Perception","Gilbert","Failure","Shnabel, Nurit, and Arie Nadler. ""A needs-based model of reconciliation: satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation."" Journal of personality and social psychology 94.1 (2008): 116.","Gilbert, E. A. (2023, September 28). Replication of Shnabel & Nadler (2008, JPSP, Study 4). Retrieved from osf.io/xse7q"
"Particular words will be preferred as brand names when the phonetic connotations of the words are consistent with the product attributes. Back vowel  sound words will be preferred over front vowel sound words for  4×4 vehicle and hammer.","Phonetic symbolism, Sound symbolism, Brand names, Psycholinguistics","Kaiser, Leonard","Success","Shrum, L. J., Lowrey, T. M., Luna, D., Lerman, D. B., and Liu, M. (2012). Sound symbolism effects across languages: implications for global brand names. Int. J. Res. Market. 29, 275–279. doi:","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
"Particular words will be preferred as brand names when the phonetic connotations of the words are consistent with the product attributes. Front vowel sound words will be preferred over back vowel sound words for 2-seater convertible and knife","Phonetic symbolism, Sound symbolism, Brand names, Psycholinguistics","Kaiser, Leonard","Success","Shrum, L. J., Lowrey, T. M., Luna, D., Lerman, D. B., and Liu, M. (2012). Sound symbolism effects across languages: implications for global brand names. Int. J. Res. Market. 29, 275–279. doi:","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
"Particular words will be preferred as brand names when the phonetic connotations of the words are consistent with the product attributes. Vowel sound-product category interaction","Phonetic symbolism, Sound symbolism, Brand names, Psycholinguistics","Kaiser, Leonard","Success","Shrum, L. J., Lowrey, T. M., Luna, D., Lerman, D. B., and Liu, M. (2012). Sound symbolism effects across languages: implications for global brand names. Int. J. Res. Market. 29, 275–279. doi:  Study 1a-c","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
"Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation","semantic richness, concepts, lexical processing, language, sensorimotor features, body-object interaction","Veronica Diveica","Success","Siakaluk, P. D., Pexman, P. M., Aguilera, L., Owen, W. J., & Sears, C. R. (2008). Evidence for the activation of sensorimotor information during visual word recognition: The body–object interaction effect. Cognition, 106(1), 433-443.","Wellsby, M., Siakaluk, P. D., Owen, W. J., & Pexman, P. M. (2011). Embodied semantic processing: the body-object interaction effect in a non-manual task. Language and Cognition, 3(1), 1-14."
"Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation","semantic richness, concepts, lexical processing, language, sensorimotor features, body-object interaction","Veronica Diveica","Success","Siakaluk, P. D., Pexman, P. M., Aguilera, L., Owen, W. J., & Sears, C. R. (2008). Evidence for the activation of sensorimotor information during visual word recognition: The body–object interaction effect. Cognition, 106(1), 433-443.","Wellsby, M., Siakaluk, P. D., Owen, W. J., & Pexman, P. M. (2011). Embodied semantic processing: the body-object interaction effect in a non-manual task. Language and Cognition, 3(1), 1-14."
"Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation","semantic richness, concepts, lexical processing, language, sensorimotor features, body-object interaction","Veronica Diveica","Success","Siakaluk, P. D., Pexman, P. M., Aguilera, L., Owen, W. J., & Sears, C. R. (2008). Evidence for the activation of sensorimotor information during visual word recognition: The body–object interaction effect. Cognition, 106(1), 433-443.","Wellsby, M., Siakaluk, P. D., Owen, W. J., & Pexman, P. M. (2011). Embodied semantic processing: the body-object interaction effect in a non-manual task. Language and Cognition, 3(1), 1-14."
"Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation","semantic richness, concepts, lexical processing, language, sensorimotor features, body-object interaction","Veronica Diveica","Success","Siakaluk, P. D., Pexman, P. M., Aguilera, L., Owen, W. J., & Sears, C. R. (2008). Evidence for the activation of sensorimotor information during visual word recognition: The body–object interaction effect. Cognition, 106(1), 433-443.","Siakaluk, P. D., Pexman, P. M., Aguilera, L., Owen, W. J., & Sears, C. R. (2008). Evidence for the activation of sensorimotor information during visual word recognition: The body–object interaction effect. Cognition, 106(1), 433-443."
"Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation","semantic richness, concepts, lexical processing, language, sensorimotor features, body-object interaction","Veronica Diveica","Success","Siakaluk, P. D., Pexman, P. M., Aguilera, L., Owen, W. J., & Sears, C. R. (2008). Evidence for the activation of sensorimotor information during visual word recognition: The body–object interaction effect. Cognition, 106(1), 433-443.","Siakaluk, P. D., Pexman, P. M., Sears, C. R., Wilson, K., Locheed, K., & Owen, W. J. (2008). The benefits of sensorimotor knowledge: Body–object interaction facilitates semantic processing. Cognitive Science, 32(3), 591-605."
"Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation","semantic richness, concepts, lexical processing, language, sensorimotor features, body-object interaction","Veronica Diveica","Success","Siakaluk, P. D., Pexman, P. M., Aguilera, L., Owen, W. J., & Sears, C. R. (2008). Evidence for the activation of sensorimotor information during visual word recognition: The body–object interaction effect. Cognition, 106(1), 433-443.","Siakaluk, P. D., Pexman, P. M., Sears, C. R., Wilson, K., Locheed, K., & Owen, W. J. (2008). The benefits of sensorimotor knowledge: Body–object interaction facilitates semantic processing. Cognitive Science, 32(3), 591-605."
"Words that have higher ratings on the BOI measure receive faster responses (RTs) in lexical-semantic tasks (e.g., lexical decision, semantic decision). The BOI quantifies the ease with which the human body can physically interact with a word’s referent. The BOI effect is thought to show that sensorimotor information contributes to word meaning, providing support for embodied theories of semantic representation","semantic richness, concepts, lexical processing, language, sensorimotor features, body-object interaction","Veronica Diveica","Success","Siakaluk, P. D., Pexman, P. M., Aguilera, L., Owen, W. J., & Sears, C. R. (2008). Evidence for the activation of sensorimotor information during visual word recognition: The body–object interaction effect. Cognition, 106(1), 433-443.","Siakaluk, P. D., Pexman, P. M., Sears, C. R., Wilson, K., Locheed, K., & Owen, W. J. (2008). The benefits of sensorimotor knowledge: Body–object interaction facilitates semantic processing. Cognitive Science, 32(3), 591-605."
"Embodiment of secrets","","Hetvi Bhatt","OS not significant","Slepian ML, Masicampo EJ, Toosi NR, Ambady N. The physical burdens of secrecy. J Exp Psychol Gen. 2012 Nov;141(4):619-24. doi:  Epub 2012 Mar 5. PMID: 22390267.","Pecher, D., van Mierlo, H., Cañal-Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72."
"Embodiment of secrets","","Hetvi Bhatt","OS not significant","Slepian ML, Masicampo EJ, Toosi NR, Ambady N. The physical burdens of secrecy. J Exp Psychol Gen. 2012 Nov;141(4):619-24. doi:  Epub 2012 Mar 5. PMID: 22390267.","Pecher, D., van Mierlo, H., Cañal-Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72."
"Embodiment of secrets","","Hetvi Bhatt","OS not significant","Slepian ML, Masicampo EJ, Toosi NR, Ambady N. The physical burdens of secrecy. J Exp Psychol Gen. 2012 Nov;141(4):619-24. doi:  Epub 2012 Mar 5. PMID: 22390267.","Pecher, D., van Mierlo, H., Cañal-Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72."
"embodiment of secrets effect","","","Failure","Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1","Pecher, D., Van Mierlo, H., Cañal‐Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72.  (Study 2)"
"embodiment of secrets effect","","","Failure","Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1","Pecher, D., Van Mierlo, H., Cañal‐Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72.  (Study 1)"
"embodiment of secrets effect","","","Failure","Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1","LeBel, E. P., & Wilbur, C. J. (2013). Big secrets do not necessarily cause hills to appear steeper. Psychonomic Bulletin & Review, 21(3), 696–700.  (Study 2)"
"embodiment of secrets effect","","","Failure","Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1","LeBel, E. P., & Wilbur, C. J. (2013). Big secrets do not necessarily cause hills to appear steeper. Psychonomic Bulletin & Review, 21(3), 696–700.  (Study 1)"
"embodiment of secrets effect","","","Failure","Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1","Perfecto et al. (2012)"
"embodiment of secrets effect","","","Failure","Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 2","Pecher, D., Van Mierlo, H., Cañal‐Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72.  (Study 3)"
"embodiment of secrets effect","","","Failure","Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 2","Cobb et al. (2014)"
"community of knowledge","","LR","OS not significant","Sloman, S. A., & Rabb, N. (2016). Your understanding is my understanding: Evidence for a community of knowledge. Psychological science, 27(11), 1451-1460.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"community of knowledge","","LR","Success","Sloman, S. A., & Rabb, N. (2016). Your understanding is my understanding: Evidence for a community of knowledge. Psychological science, 27(11), 1451-1460.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Participants in the hindsight condition estimate a greater probability that the outcome will continue to occur in future trials, compared with participants in the foresight condition.","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Success","Slovic, P., & Fischhoff, B. (1977). On the psychology of experimental surprises. Journal of Experimental Psychology: Human Perception and Performance, 3(4), 544.","Chen, J., Kwan, L. Y. A., Yeung, W. L., Choi, H., Lo, Y., Au, S. Y., Tsang, C., Cheng, B., & Feldman, G. (2021). Retrospective and prospective hindsight bias: Replications and extensions of Fischhoff (1975) and Slovic and Fischhoff (1977). Journal of Experimental Social Psychology, 96, 104154."
"Standing is better than sitting for attention performance on the Stroop task","Stroop, attention, cognitive control, posture, standing","LaPlume, Annalise","OS not significant","Smith, K. C., Davoli, C. C., Knapp, W. H., & Abrams, R. A. (2019). Standing enhances cognitive control and alters visual search. Attention, Perception, & Psychophysics, 81, 2320-2329.","Straub, E. R., Dames, H., Kiesel, A., & Dignath, D. (2022). Does body posture reduce the Stroop effect? Evidence from two conceptual replications and a meta-analysis. Acta Psychologica, 224, 103497."
"Standing resulted in better performance than sitting in on a visual search task","posture, attention, cognitive control, visual search, standing","LaPlume, Annalise","Failure","Smith, K.C., Davoli, C.C., Knapp, W.H., & Abrams, R.A. (2019) Standing enhances cognitive control and alters visual search. Attention, Perception, and Psychophysics, 81, 2320–2329.","Caron, E. E., Marusich, L. R., Bakdash, J. Z., Ballotti, R. J., Tague, A. M., Carriere, J. S., Smilek, D., Harter, D., Lu, S., & Reynolds, M. G. (2023). The Influence of Posture on Attention. Experimental Psychology, 69(6), 295-307."
"Standing resulted in better performance than sitting in on a task switching measure","posture, attention, task switching, cognitive control, standing","LaPlume, Annalise","Failure","Smith, K.C., Davoli, C.C., Knapp, W.H., & Abrams, R.A. (2019) Standing enhances cognitive control and alters visual search. Attention, Perception, and Psychophysics, 81, 2320–2329.","Caron, E. E., Marusich, L. R., Bakdash, J. Z., Ballotti, R. J., Tague, A. M., Carriere, J. S., Smilek, D., Harter, D., Lu, S., & Reynolds, M. G. (2023). The Influence of Posture on Attention. Experimental Psychology, 69(6), 295-307."
"Standing resulted in better performance than sitting in on a Stroop task","Stroop effect, posture, attention , standing, embodiment","LaPlume, Annalise","OS not significant","Smith, K.C., Davoli, C.C., Knapp, W.H., & Abrams, R.A. (2019) Standing enhances cognitive control and alters visual search. Attention, Perception, and Psychophysics, 81, 2320–2329.","Caron, E. E., Marusich, L. R., Bakdash, J. Z., Ballotti, R. J., Tague, A. M., Carriere, J. S., Smilek, D., Harter, D., Lu, S., & Reynolds, M. G. (2023). The Influence of Posture on Attention. Experimental Psychology, 69(6), 295-307."
"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.","Adolescent, Adult, Child, Comprehension, Data Collection, Extraversion (Psychology), Female, Humans, Informed Consent, Internet, Language Development, Male, Patient Selection, Personality Development, Personality Inventory [statistics & numerical data], Psychometrics [statistics & numerical data], Reproducibility of Results, Self Concept, Vocabulary","Soderberg","Success","Soto, C.J., John, O.P., Gosling, S.D., & Potter, J. (2008). The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20. Journal of Personality and Social Psychology, 94(4), 718-737.","Soderberg, C. K. (2023, September 28). Replication of CJ Soto, OP John, SD Gosling, J Potter (2008, JPSP 94(4)). Retrieved from osf.io/kez47"
"implicit Theory of Mind measured via anticipatory looking paradigms","implicit Theory of Mind, anticipatory looking, infants","Kulke, Louisa","Success","Southgate V, Senju A, Csibra G. Action anticipation through attribution of false belief by 2-year-olds. Psychol Sci. 2007 Jul;18(7):587-92. doi:  PMID: 17614866.","Kulke, L., Reiß, M., Krist, H., & Rakoczy, H. (2018). How robust are anticipatory looking measures of Theory of Mind? Replication attempts across the life span. Cognitive Development, 46, 97-111."
"implicit Theory of Mind measured through anticipatory looking (FB2 condition)","implicit Theory of Mind","Kulke, Louisa","Failure","Southgate V, Senju A, Csibra G. Action anticipation through attribution of false belief by 2-year-olds. Psychol Sci. 2007 Jul;18(7):587-92. doi:  PMID: 17614866.","Kulke, L., & Rakoczy, H. (2019). Testing the role of verbal narration in implicit theory of mind tasks. Journal of Cognition and Development, 20(1), 1-14."
"implicit Theory of Mind measured through anticipatory looking (FB1 condition)","implicit Theory of Mind","Kulke, Louisa","Success","Southgate V, Senju A, Csibra G. Action anticipation through attribution of false belief by 2-year-olds. Psychol Sci. 2007 Jul;18(7):587-92. doi:  PMID: 17614866.","Kulke, L., & Rakoczy, H. (2019). Testing the role of verbal narration in implicit theory of mind tasks. Journal of Cognition and Development, 20(1), 1-14."
"Implicit Theory of Mind can be measured through anticipatory looking patterns measured through eye-tracking.","Theory of Mind, implicit Theory of Mind, eye-tracking","Kulke, Louisa","Failure","Southgate, V., Senju, A., & Csibra, G. (2007). Action anticipation through attribution of false belief by 2-year-olds. Psychological science, 18(7), 587-592.","Kulke, L., Von Duhn, B., Schneider, D., & Rakoczy, H. (2018). Is implicit theory of mind a real and robust phenomenon? results from a systematic replication study. Psychological Science, 29(6), 888–900."
"Google effects on memory: cognitive consequences of having information at our fngertips","Social Science Replication Project, Science, Nature, Human Behavior","Lukas Röseler","Failure","Sparrow, B., Liu, J., & Wegner, D. M. (2011). Google effects on memory: Cognitive consequences of having information at our fingertips. science, 333(6043), 776-778.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"No-harm outcomes will be associated with a bias towards lower attributions of immorality","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","OS not significant","Spranca, M., Minsk, E., & Baron, J. (1991). Omission and commission in judgment and choice. Journal of experimental social psychology, 27(1), 76-105.","Jamison, J., Yay, T., & Feldman, G. (2020). Action-inaction asymmetries in moral scenarios: Replication of the omission bias examining morality and blame with extensions linking to causality, intent, and regret. In Journal of Experimental Social Psychology (Vol. 89, p. 103977). Elsevier BV."
"Omission will be associated with a bias towards lower attributions of immorality","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Success","Spranca, M., Minsk, E., & Baron, J. (1991). Omission and commission in judgment and choice. Journal of experimental social psychology, 27(1), 76-105.","Jamison, J., Yay, T., & Feldman, G. (2020). Action-inaction asymmetries in moral scenarios: Replication of the omission bias examining morality and blame with extensions linking to causality, intent, and regret. In Journal of Experimental Social Psychology (Vol. 89, p. 103977). Elsevier BV."
"No-harm outcomes will be associated with a bias towards lower attributions of immorality","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","OS not significant","Spranca, M., Minsk, E., & Baron, J. (1991). Omission and commission in judgment and choice. Journal of experimental social psychology, 27(1), 76-105.","Jamison, J., Yay, T., & Feldman, G. (2020). Action-inaction asymmetries in moral scenarios: Replication of the omission bias examining morality and blame with extensions linking to causality, intent, and regret. In Journal of Experimental Social Psychology (Vol. 89, p. 103977). Elsevier BV."
"Omission will be associated with a bias towards lower attributions of responsibility","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Success","Spranca, M., Minsk, E., & Baron, J. (1991). Omission and commission in judgment and choice. Journal of experimental social psychology, 27(1), 76-105.","Jamison, J., Yay, T., & Feldman, G. (2020). Action-inaction asymmetries in moral scenarios: Replication of the omission bias examining morality and blame with extensions linking to causality, intent, and regret. In Journal of Experimental Social Psychology (Vol. 89, p. 103977). Elsevier BV."
"Omission will be associated with a bias towards lower attributions of immorality","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Success","Spranca, M., Minsk, E., & Baron, J. (1991). Omission and commission in judgment and choice. Journal of experimental social psychology, 27(1), 76-105.","Jamison, J., Yay, T., & Feldman, G. (2020). Action-inaction asymmetries in moral scenarios: Replication of the omission bias examining morality and blame with extensions linking to causality, intent, and regret. In Journal of Experimental Social Psychology (Vol. 89, p. 103977). Elsevier BV."
"ego depletion effect","","","Failure","Sripada, C., Kessler, D., & Jonides, J. (2014). Methylphenidate blocks effort-induced depletion of regulatory control in healthy volunteers. Psychological science, 25(6), 1227-1234.","Hagger, M. S., Chatzisarantis, N. L. D., Alberts, H., Anggono, C. O., Batailler, C., Birt, A. R., . . . Zwienenberg, M. (2016). A multilab preregistered replication of the ego-depletion effect. Perspectives on Psychological Science, 11, 546–573."
"ego depletion effect","","","Failure","Sripada, C., Kessler, D., & Jonides, J. (2014). Methylphenidate blocks effort-induced depletion of regulatory control in healthy volunteers. Psychological science, 25(6), 1227-1234.","Hagger, M. S., Chatzisarantis, N. L. D., Alberts, H., Anggono, C. O., Batailler, C., Birt, A. R., . . . Zwienenberg, M. (2016). A multilab preregistered replication of the ego-depletion effect. Perspectives on Psychological Science, 11, 546–573."
"ego depletion effect","","","Failure","Sripada, C., Kessler, D., & Jonides, J. (2014). Methylphenidate blocks effort-induced depletion of regulatory control in healthy volunteers. Psychological science, 25(6), 1227-1234.","Hagger, M. S., Chatzisarantis, N. L. D., Alberts, H., Anggono, C. O., Batailler, C., Birt, A. R., . . . Zwienenberg, M. (2016). A multilab preregistered replication of the ego-depletion effect. Perspectives on Psychological Science, 11, 546–573."
"ego depletion effect","","","Success","Sripada, C., Kessler, D., & Jonides, J. (2014). Methylphenidate blocks effort-induced depletion of regulatory control in healthy volunteers. Psychological science, 25(6), 1227-1234.","Hagger, M. S., Chatzisarantis, N. L. D., Alberts, H., Anggono, C. O., Batailler, C., Birt, A. R., . . . Zwienenberg, M. (2016). A multilab preregistered replication of the ego-depletion effect. Perspectives on Psychological Science, 11, 546–573."
"ego depletion effect","","","Success","Sripada, C., Kessler, D., & Jonides, J. (2014). Methylphenidate blocks effort-induced depletion of regulatory control in healthy volunteers. Psychological science, 25(6), 1227-1234.","Hagger, M. S., Chatzisarantis, N. L. D., Alberts, H., Anggono, C. O., Batailler, C., Birt, A. R., . . . Zwienenberg, M. (2016). A multilab preregistered replication of the ego-depletion effect. Perspectives on Psychological Science, 11, 546–573."
"ego depletion effect","","","Success","Sripada, C., Kessler, D., & Jonides, J. (2014). Methylphenidate blocks effort-induced depletion of regulatory control in healthy volunteers. Psychological science, 25(6), 1227-1234.","Hagger, M. S., Chatzisarantis, N. L. D., Alberts, H., Anggono, C. O., Batailler, C., Birt, A. R., . . . Zwienenberg, M. (2016). A multilab preregistered replication of the ego-depletion effect. Perspectives on Psychological Science, 11, 546–573."
"ego depletion effect","","","Success","Sripada, C., Kessler, D., & Jonides, J. (2014). Methylphenidate blocks effort-induced depletion of regulatory control in healthy volunteers. Psychological science, 25(6), 1227-1234.","Hagger, M. S., Chatzisarantis, N. L. D., Alberts, H., Anggono, C. O., Batailler, C., Birt, A. R., . . . Zwienenberg, M. (2016). A multilab preregistered replication of the ego-depletion effect. Perspectives on Psychological Science, 11, 546–573."
"RRR9: hostility priming increases…","","","Failure","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 23)"
