,description,tags,contributors,result,ref_original,ref_replication,abstract,cited_by_count,gs_title
440,prosocials have more sisters than individualists,social value orientation (SLM); sister; sample 2,Yi Liu,Failure,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
441,prosocials have more siblings than competitors,social value orientation (SLM); total siblings; sample 2,Yi Liu,Failure (reversal),"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
442,prosocials have more siblings than individualists,social value orientation (SLM); total siblings; sample 2,Yi Liu,Success,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
443,prosocials have more older siblings than competitors,social value orientation (TDM); older siblings; sample 2,Yi Liu,OS not significant,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
444,prosocials have more older siblings than individualists,social value orientation (TDM); older siblings; sample 2,Yi Liu,Failure,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
445,prosocials have more sisters than competitors,social value orientation (TDM); sister; sample 2,Yi Liu,Failure,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
446,prosocials have more sisters than individualists,social value orientation (TDM); sister; sample 2,Yi Liu,Success,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
447,prosocials have more siblings than competitors,social value orientation (TDM); total siblings; sample 2,Yi Liu,Failure,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
448,prosocials have more siblings than individualists,social value orientation (TDM); total siblings; sample 2,Yi Liu,Success,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
449,prosocials have more older siblings than competitors,social value orientation (SLM); older siblings; sample 1,Yi Liu,OS not significant,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
450,prosocials have more older siblings than individualists,social value orientation (SLM); older siblings; sample 1,Yi Liu,Failure,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
451,prosocials have more sisters than competitors,social value orientation (SLM); sister; sample 1,Yi Liu,Failure (reversal),"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
452,prosocials have more sisters than individualists,social value orientation (SLM); sister; sample 1,Yi Liu,Success,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
453,prosocials have more siblings than competitors,social value orientation (SLM); total siblings; sample 1,Yi Liu,Failure (reversal),"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
454,prosocials have more siblings than individualists,social value orientation (SLM); total siblings; sample 1,Yi Liu,Success,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
455,prosocials have more older siblings than competitors,social value orientation (TDM); older siblings; sample 1,Yi Liu,OS not significant,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
456,prosocials have more older siblings than individualists,social value orientation (TDM); older siblings; sample 1,Yi Liu,Failure,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
457,prosocials have more sisters than competitors,social value orientation (TDM); sister; sample 1,Yi Liu,Failure (reversal),"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
458,prosocials have more sisters than individualists,social value orientation (TDM); sister; sample 1,Yi Liu,Success,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
459,prosocials have more siblings than competitors,social value orientation (TDM); total siblings; sample 1,Yi Liu,Failure (reversal),"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
460,prosocials have more siblings than individualists,social value orientation (TDM); total siblings; sample 1,Yi Liu,Success,"Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
461,Social value orientation and family size,Many Labs 2,Lukas Röseler,Failure,"Van Lange, P. A. M., Otten, W., De Bruin, E. M. N., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73, 733–746.  Study 3","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490.","The authors adopt an interdependence analysis of social value orientation, proposing that prosocial, individualistic, and competitive orientations are (a) partially rooted in different patterns of social interaction as experienced during the periods spanning early childhood to young adulthood and (b) further shaped by different patterns of social interaction as experienced during early adulthood, middle adulthood, and old age. Congruent with this analysis, results revealed that relative to individualists and competitors, prosocial individuals exhibited greater levels of secure attachment (Studies 1 and 2) and reported having more siblings, especially sisters (Study 3). Finally, the prevalence of prosocials increased—and the prevalence of individualists and competitors decreased—from early adulthood to middle adulthood and old age (Study 4).(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",1914,"Development of prosocial, individualistic, and competitive orientations: theory and preliminary evidence."
462,This study examines the hypothesis that a “product would be perceived as more efficacious when represented [in an advertisement] by multiple product replicates (vs. a single product).,"entitativity, product quantity, perceived efficacy","Kaiser, Leonard",OS not significant,"VanBergen, N., Irmak, C., & Sevilla, J. (2020). Product Entitativity: How the Presence of Product Replicates Increases Perceived and Actual Product Efficacy. Journal of Consumer Research, 47, 192-214. Study 1","Simmons, J. &. Nelson, L.D. (2020). [90] Data Replicada #7: Does Displaying Multiple Copies of a Product Increase Its Perceived Effectiveness? Data Colada. (Replication 3)"," Many studies document the benefits of presenting smaller quantities of products, particularly when differences in quantity relate to availability or popularity. However, we know less about the effects of quantity differences in contexts unrelated to scarcity, such as when products are depicted in ads, special displays, or online retailing settings. The present research builds on extant literature by investigating a previously unexplored question: How do product perceptions differ depending on whether consumers view a single unit in isolation, versus as one unit among identical product replicates? Five experiments demonstrate that presenting multiple product replicates as a group (vs. presenting a single item) increases product efficacy perceptions because it leads consumers to perceive products as more homogeneous and unified around a shared goal. That is, consumers perceive greater product entitativity when viewing a group of product replicates. As a result, the perceived and actual ability of products to deliver that function (i.e., product efficacy) increases.Oxford University Press",42,[PDF][PDF] Product entitativity: How the presence of product replicates increases perceived and actual product efficacy
463,This study examines the hypothesis that a “product would be perceived as more efficacious when represented [in an advertisement] by multiple product replicates (vs. a single product).,"entitativity, product quantity, perceived efficacy","Kaiser, Leonard",OS not significant,"VanBergen, N., Irmak, C., & Sevilla, J. (2020). Product Entitativity: How the Presence of Product Replicates Increases Perceived and Actual Product Efficacy. Journal of Consumer Research, 47, 192-214. Study 1","Simmons, J. &. Nelson, L.D. (2020). [90] Data Replicada #7: Does Displaying Multiple Copies of a Product Increase Its Perceived Effectiveness? Data Colada. (Replication 2)"," Many studies document the benefits of presenting smaller quantities of products, particularly when differences in quantity relate to availability or popularity. However, we know less about the effects of quantity differences in contexts unrelated to scarcity, such as when products are depicted in ads, special displays, or online retailing settings. The present research builds on extant literature by investigating a previously unexplored question: How do product perceptions differ depending on whether consumers view a single unit in isolation, versus as one unit among identical product replicates? Five experiments demonstrate that presenting multiple product replicates as a group (vs. presenting a single item) increases product efficacy perceptions because it leads consumers to perceive products as more homogeneous and unified around a shared goal. That is, consumers perceive greater product entitativity when viewing a group of product replicates. As a result, the perceived and actual ability of products to deliver that function (i.e., product efficacy) increases.Oxford University Press",42,[PDF][PDF] Product entitativity: How the presence of product replicates increases perceived and actual product efficacy
